receive_date,sku,vendor_style,brand_desc,department,sku_desc,vendor,size,units_received,retail_price
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,7.5,1,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,8,2,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,8.5,3,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,9,4,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,9.5,5,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,10,7,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,10.5,7,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,11,7,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,11.5,5,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,12,4,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,13,3,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,14,2,130.00
2024-02-04,30-20-000001-0-10,FZ8811-130,ADIDAS HARDEN VOL 7,RETRO BASKETBALL,HARDEN VOL 7 BLK/RED,ADIDAS,15,3,130.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,7.5,1,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,8,2,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,8.5,3,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,9,4,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,9.5,5,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,10,7,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,10.5,7,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,11,6,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,11.5,5,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,12,4,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,13,3,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,14,2,175.00
2024-02-04,30-20-000002-0-10,HF4314-163,NIKE AIR JORDAN 2 RETRO,RETRO BASKETBALL,AJ2 RETRO SLT/GRY,NIKE,15,1,175.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,7.5,1,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,8,3,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,8.5,3,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,9,5,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,9.5,6,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,10,8,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,10.5,8,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,11,7,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,11.5,5,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,12,5,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,13,3,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,14,2,150.00
2024-02-08,30-30-000003-0-10,HQ3345-151,ON CLOUDGO,RUNNING,CLOUDGO BLU/WHT,ON,15,1,150.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,7.5,1,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,8,3,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,8.5,4,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,9,5,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,9.5,7,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,10,9,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,10.5,9,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,11,8,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,11.5,6,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,12,5,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,13,4,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,14,2,120.00
2024-01-14,30-30-000004-0-10,HQ8834-374,ASICS GT-2000 13,RUNNING,GT-2000 13 GRN/WHT,ASICS,15,1,120.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,7.5,1,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,8,3,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,8.5,3,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,9,5,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,9.5,6,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,10,8,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,10.5,8,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,11,7,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,11.5,5,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,12,5,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,13,3,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,14,2,140.00
2024-02-20,30-30-000005-0-10,HQ2233-691,ADIDAS BOSTON 12,RUNNING,BOSTON 12 BLK/WHT,ADIDAS,15,1,140.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,7.5,1,90.00
2024-03-01,30-40-000006-0-10,FZ9934-300,SAUCONY SHADOW 6000,LIFESTYLE,SHADOW 6000 PNK/WHT,SAUCONY,8,1,90.00
