sale_id,sku,size,sale_date,quantity_sold,retail_price,sale_price,sale_type
S-00001,30-20-000001-0-10,8,2024-02-04,1,130.00,130.00,full_price
S-00002,30-20-000001-0-10,8.5,2024-02-04,1,130.00,130.00,full_price
S-00003,30-20-000001-0-10,9,2024-02-04,1,130.00,130.00,full_price
S-00004,30-20-000001-0-10,9,2024-04-10,1,130.00,130.00,full_price
S-00005,30-20-000001-0-10,9.5,2024-02-04,1,130.00,130.00,full_price
S-00006,30-20-000001-0-10,9.5,2024-03-19,1,130.00,130.00,full_price
S-00007,30-20-000001-0-10,9.5,2024-04-30,1,130.00,130.00,full_price
S-00008,30-20-000001-0-10,10,2024-02-04,1,130.00,130.00,full_price
S-00009,30-20-000001-0-10,10,2024-03-05,1,130.00,130.00,full_price
S-00010,30-20-000001-0-10,10,2024-03-27,1,130.00,130.00,full_price
S-00011,30-20-000001-0-10,10,2024-04-25,1,130.00,130.00,full_price
S-00012,30-20-000001-0-10,10,2024-06-21,1,130.00,92.69,markdown
S-00013,30-20-000001-0-10,10.5,2024-02-04,1,130.00,130.00,full_price
S-00014,30-20-000001-0-10,10.5,2024-03-05,1,130.00,130.00,full_price
S-00015,30-20-000001-0-10,10.5,2024-04-01,1,130.00,130.00,full_price
S-00016,30-20-000001-0-10,10.5,2024-05-03,1,130.00,130.00,full_price
S-00017,30-20-000001-0-10,10.5,2024-05-06,1,130.00,97.92,markdown
S-00018,30-20-000001-0-10,11,2024-02-04,1,130.00,130.00,full_price
S-00019,30-20-000001-0-10,11,2024-03-10,1,130.00,130.00,full_price
S-00020,30-20-000001-0-10,11,2024-03-31,1,130.00,130.00,full_price
S-00021,30-20-000001-0-10,11,2024-05-05,1,130.00,100.22,markdown
S-00022,30-20-000001-0-10,11.5,2024-02-04,1,130.00,130.00,full_price
S-00023,30-20-000001-0-10,11.5,2024-05-01,1,130.00,130.00,full_price
S-00024,30-20-000001-0-10,12,2024-02-04,1,130.00,130.00,full_price
S-00025,30-20-000001-0-10,12,2024-04-07,1,130.00,130.00,full_price
S-00026,30-20-000001-0-10,13,2024-02-04,1,130.00,130.00,full_price
S-00027,30-20-000001-0-10,14,2024-02-04,1,130.00,130.00,full_price
S-00028,30-20-000001-0-10,15,2024-02-04,1,130.00,130.00,full_price
S-00029,30-20-000002-0-10,8,2024-02-04,1,175.00,175.00,full_price
S-00030,30-20-000002-0-10,8.5,2024-02-04,1,175.00,175.00,full_price
S-00031,30-20-000002-0-10,9,2024-02-04,1,175.00,175.00,full_price
S-00032,30-20-000002-0-10,9.5,2024-02-04,1,175.00,175.00,full_price
S-00033,30-20-000002-0-10,9.5,2024-04-12,1,175.00,175.00,full_price
S-00034,30-20-000002-0-10,10,2024-02-04,1,175.00,175.00,full_price
S-00035,30-20-000002-0-10,10,2024-03-16,1,175.00,175.00,full_price
S-00036,30-20-000002-0-10,10,2024-04-13,1,175.00,175.00,full_price
S-00037,30-20-000002-0-10,10,2024-05-07,1,175.00,125.95,markdown
S-00038,30-20-000002-0-10,10.5,2024-02-04,1,175.00,175.00,full_price
S-00039,30-20-000002-0-10,10.5,2024-03-18,1,175.00,175.00,full_price
S-00040,30-20-000002-0-10,10.5,2024-03-30,1,175.00,175.00,full_price
S-00041,30-20-000002-0-10,10.5,2024-04-29,1,175.00,132.85,markdown
S-00042,30-20-000002-0-10,11,2024-02-04,1,175.00,175.00,full_price
S-00043,30-20-000002-0-10,11,2024-03-18,1,175.00,175.00,full_price
S-00044,30-20-000002-0-10,11,2024-05-19,1,175.00,175.00,full_price
S-00045,30-20-000002-0-10,11.5,2024-02-04,1,175.00,175.00,full_price
S-00046,30-20-000002-0-10,11.5,2024-04-16,1,175.00,175.00,full_price
S-00047,30-20-000002-0-10,12,2024-02-04,1,175.00,175.00,full_price
S-00048,30-20-000002-0-10,13,2024-02-04,1,175.00,175.00,full_price
S-00049,30-20-000002-0-10,15,2024-02-04,1,175.00,175.00,full_price
S-00050,30-30-000003-0-10,8,2024-02-08,1,150.00,150.00,full_price
